split,policy,cost_mode,lambda,mean_reward,mean_cost,mean_utility,choice_counts_by_route,choice_agreement_with_oracle_cost_q
train,q_bare_direct,fixed_train_mean,0.0,0.493891797556719,0.007618090108202444,0.493891797556719,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 342, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 321, ""solver:openai/gpt-oss-120b"": 483, ""solver:openai/gpt-oss-20b"": 0}",1.0
train,q_bare_direct,oracle_actual_cost,0.0,0.493891797556719,0.007618090108202444,0.493891797556719,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 342, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 321, ""solver:openai/gpt-oss-120b"": 483, ""solver:openai/gpt-oss-20b"": 0}",1.0
train,best_always,actual_realized,0.0,0.468586387434555,0.014061715811518327,0.468586387434555,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 1146, ""solver:openai/gpt-oss-20b"": 0}",
train,oracle_true_success_and_cost,actual_realized,0.0,0.543630017452007,0.0015828487643979056,0.543630017452007,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 850, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 52, ""solver:openai/gpt-oss-120b"": 55, ""solver:openai/gpt-oss-20b"": 189}",
train,q_bare_direct,fixed_train_mean,5.0,0.49040139616055844,0.004088379348167539,0.46995949941972076,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 745, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 51, ""solver:openai/gpt-oss-120b"": 287, ""solver:openai/gpt-oss-20b"": 63}",0.912739965095986
train,q_bare_direct,oracle_actual_cost,5.0,0.493891797556719,0.003653121809773124,0.47562618850785343,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 727, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 54, ""solver:openai/gpt-oss-120b"": 291, ""solver:openai/gpt-oss-20b"": 74}",1.0
train,best_always,actual_realized,5.0,0.468586387434555,0.014061715811518327,0.39827780837696336,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 0, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 0, ""solver:openai/gpt-oss-120b"": 1146, ""solver:openai/gpt-oss-20b"": 0}",
train,oracle_true_success_and_cost,actual_realized,5.0,0.543630017452007,0.0015605880034904012,0.535827077434555,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 846, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 64, ""solver:openai/gpt-oss-120b"": 57, ""solver:openai/gpt-oss-20b"": 179}",
train,q_bare_direct,fixed_train_mean,10.0,0.4895287958115183,0.003170170993019197,0.45782708588132637,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 774, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 30, ""solver:openai/gpt-oss-120b"": 190, ""solver:openai/gpt-oss-20b"": 152}",0.900523560209424
train,q_bare_direct,oracle_actual_cost,10.0,0.4851657940663176,0.002761029080279232,0.4575555032635253,"{""scout:Qwen/Qwen3-4B-Instruct-2507"": 756, ""solver:Qwen/Qwen3-Coder-30B-A3B-Instruct"": 50, ""solver:openai/gpt-oss-120b"": 213, ""solver:openai/gpt-oss-20b"": 127}",1.0
