policy,policy_type,lambda,mean_reward,mean_cost,cost_frac_of_expensive,oracle_match_rate,direct_random_reward_at_same_cost,gain_vs_direct_random_same_cost,direct_random_mix,choice_counts_by_route
state_policy::input_only_direct,input_only_direct,0.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,0.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,0.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,5.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,5.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,5.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,8.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::flexible_bare_max1,flexible_bare_chain,8.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::forced_scout_0_max1,forced_scout_chain,8.0,0.2902097902097902,0.00026183225874125865,0.06048548917400258,0.7727272727272727,0.2902097902097902,0.0,scout:Qwen/Qwen3-4B-Instruct-2507,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 286, 'solver:openai/gpt-oss-20b': 0, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
state_policy::input_only_direct,input_only_direct,10.0,0.3881118881118881,0.0030106595979021,0.6954880937549638,0.15384615384615385,0.3881118881118881,0.0,solver:openai/gpt-oss-20b,"{'scout:Qwen/Qwen3-4B-Instruct-2507': 0, 'solver:openai/gpt-oss-20b': 286, 'solver:Qwen/Qwen3-Coder-30B-A3B-Instruct': 0, 'OUT': 0}"
